geo_level,province,district,caste,sex,rowtotal,a_readwrite,b_readonly,c_noreadwrite,d_notstd,literacy_rate,literacy_rate_male,literacy_rate_female,literacy_rate_gap_pts
district,Sudurpaschim,Kailali,Yakthung/Limbu,Female,68,54,0,14,0,79.41176471,93.93939394,79.41176471,14.53
district,Sudurpaschim,Kailali,Yakthung/Limbu,Male,66,62,0,4,0,93.93939394,93.93939394,79.41176471,14.53
district,Sudurpaschim,Kailali,Yakthung/Limbu,Total,134,116,0,18,0,86.56716418,93.93939394,79.41176471,14.53
district,Sudurpaschim,Kanchanpur,All caste,Female,254296,184494,1926,67819,57,72.55088558,87.91225922,72.55088558,15.36
district,Sudurpaschim,Kanchanpur,All caste,Male,218097,191734,1021,25276,66,87.91225922,87.91225922,72.55088558,15.36
district,Sudurpaschim,Kanchanpur,All caste,Total,472393,376228,2947,93095,123,79.6430091,87.91225922,72.55088558,15.36
district,Sudurpaschim,Kanchanpur,Badi,Female,204,128,1,75,0,62.74509804,72.30769231,62.74509804,9.56
district,Sudurpaschim,Kanchanpur,Badi,Male,195,141,1,53,0,72.30769231,72.30769231,62.74509804,9.56
district,Sudurpaschim,Kanchanpur,Badi,Total,399,269,2,128,0,67.41854637,72.30769231,62.74509804,9.56
district,Sudurpaschim,Kanchanpur,Bangali,Female,12,9,0,3,0,75,94.73684211,75,19.74
district,Sudurpaschim,Kanchanpur,Bangali,Male,19,18,0,1,0,94.73684211,94.73684211,75,19.74
district,Sudurpaschim,Kanchanpur,Bangali,Total,31,27,0,4,0,87.09677419,94.73684211,75,19.74
district,Sudurpaschim,Kanchanpur,Baniyan,Female,13,11,0,2,0,84.61538462,91.66666667,84.61538462,7.05
district,Sudurpaschim,Kanchanpur,Baniyan,Male,12,11,0,1,0,91.66666667,91.66666667,84.61538462,7.05
district,Sudurpaschim,Kanchanpur,Baniyan,Total,25,22,0,3,0,88,91.66666667,84.61538462,7.05
district,Sudurpaschim,Kanchanpur,Baraee,Female,12,10,0,2,0,83.33333333,92.30769231,83.33333333,8.97
district,Sudurpaschim,Kanchanpur,Baraee,Male,13,12,0,1,0,92.30769231,92.30769231,83.33333333,8.97
district,Sudurpaschim,Kanchanpur,Baraee,Total,25,22,0,3,0,88,92.30769231,83.33333333,8.97
district,Sudurpaschim,Kanchanpur,Bhote,Female,7,5,0,2,0,71.42857143,75,71.42857143,3.57
district,Sudurpaschim,Kanchanpur,Bhote,Male,4,3,0,1,0,75,75,71.42857143,3.57
district,Sudurpaschim,Kanchanpur,Bhote,Total,11,8,0,3,0,72.72727273,75,71.42857143,3.57
district,Sudurpaschim,Kanchanpur,Bishwokarma,Female,20279,14409,176,5687,7,71.0537995,85.93339176,71.0537995,14.88
district,Sudurpaschim,Kanchanpur,Bishwokarma,Male,15974,13727,94,2146,7,85.93339176,85.93339176,71.0537995,14.88
district,Sudurpaschim,Kanchanpur,Bishwokarma,Total,36253,28136,270,7833,14,77.61012882,85.93339176,71.0537995,14.88
district,Sudurpaschim,Kanchanpur,Bote,Female,40,32,0,8,0,80,88.37209302,80,8.37
district,Sudurpaschim,Kanchanpur,Bote,Male,43,38,0,5,0,88.37209302,88.37209302,80,8.37
district,Sudurpaschim,Kanchanpur,Bote,Total,83,70,0,13,0,84.3373494,88.37209302,80,8.37
district,Sudurpaschim,Kanchanpur,Brahman - Hill,Female,40887,31497,206,9174,10,77.03426517,94.28039668,77.03426517,17.25
district,Sudurpaschim,Kanchanpur,Brahman - Hill,Male,35999,33940,95,1958,6,94.28039668,94.28039668,77.03426517,17.25
district,Sudurpaschim,Kanchanpur,Brahman - Hill,Total,76886,65437,301,11132,16,85.1091226,94.28039668,77.03426517,17.25
district,Sudurpaschim,Kanchanpur,Brahman - Tarai,Female,246,196,2,48,0,79.67479675,92.62672811,79.67479675,12.95
district,Sudurpaschim,Kanchanpur,Brahman - Tarai,Male,217,201,3,13,0,92.62672811,92.62672811,79.67479675,12.95
district,Sudurpaschim,Kanchanpur,Brahman - Tarai,Total,463,397,5,61,0,85.74514039,92.62672811,79.67479675,12.95
district,Sudurpaschim,Kanchanpur,Chamar/Harijan/Ram,Female,8,8,0,0,0,100,100,100,0
district,Sudurpaschim,Kanchanpur,Chamar/Harijan/Ram,Male,4,4,0,0,0,100,100,100,0
district,Sudurpaschim,Kanchanpur,Chamar/Harijan/Ram,Total,12,12,0,0,0,100,100,100,0
district,Sudurpaschim,Kanchanpur,Darai,Female,6,4,0,2,0,66.66666667,66.66666667,66.66666667,0
district,Sudurpaschim,Kanchanpur,Darai,Male,6,4,0,2,0,66.66666667,66.66666667,66.66666667,0
district,Sudurpaschim,Kanchanpur,Darai,Total,12,8,0,4,0,66.66666667,66.66666667,66.66666667,0
district,Sudurpaschim,Kanchanpur,Dev,Female,9,9,0,0,0,100,100,100,0
district,Sudurpaschim,Kanchanpur,Dev,Male,11,11,0,0,0,100,100,100,0
district,Sudurpaschim,Kanchanpur,Dev,Total,20,20,0,0,0,100,100,100,0
district,Sudurpaschim,Kanchanpur,Dhanuk,Female,207,151,0,56,0,72.9468599,90.05524862,72.9468599,17.11
district,Sudurpaschim,Kanchanpur,Dhanuk,Male,181,163,0,18,0,90.05524862,90.05524862,72.9468599,17.11
district,Sudurpaschim,Kanchanpur,Dhanuk,Total,388,314,0,74,0,80.92783505,90.05524862,72.9468599,17.11
district,Sudurpaschim,Kanchanpur,Dhobi,Female,9,6,0,3,0,66.66666667,88.88888889,66.66666667,22.22
district,Sudurpaschim,Kanchanpur,Dhobi,Male,9,8,0,1,0,88.88888889,88.88888889,66.66666667,22.22
district,Sudurpaschim,Kanchanpur,Dhobi,Total,18,14,0,4,0,77.77777778,88.88888889,66.66666667,22.22
district,Sudurpaschim,Kanchanpur,Gaderi/Bhediyar,Female,7,4,0,3,0,57.14285714,100,57.14285714,42.86
district,Sudurpaschim,Kanchanpur,Gaderi/Bhediyar,Male,10,10,0,0,0,100,100,57.14285714,42.86
district,Sudurpaschim,Kanchanpur,Gaderi/Bhediyar,Total,17,14,0,3,0,82.35294118,100,57.14285714,42.86
district,Sudurpaschim,Kanchanpur,Gaine,Female,7,5,0,2,0,71.42857143,75,71.42857143,3.57
district,Sudurpaschim,Kanchanpur,Gaine,Male,4,3,0,1,0,75,75,71.42857143,3.57
district,Sudurpaschim,Kanchanpur,Gaine,Total,11,8,0,3,0,72.72727273,75,71.42857143,3.57
district,Sudurpaschim,Kanchanpur,Ghale,Female,9,7,1,1,0,77.77777778,83.33333333,77.77777778,5.56
